2026-07-07 16:14:57 | INFO     | ckd_ablation |     AUC=0.9830  F1=0.9800  MCC=0.9467  BalAcc=0.9733
2026-07-07 16:14:57 | INFO     | ckd_ablation |   [XGBoost] Top 20 SHAP                n_features=20
2026-07-07 16:14:57 | INFO     | ckd_ablation |     AUC=0.9830  F1=0.9800  MCC=0.9467  BalAcc=0.9733
2026-07-07 16:14:57 | INFO     | ckd_ablation |   [XGBoost] Top 15 SHAP                n_features=15
2026-07-07 16:14:57 | INFO     | ckd_ablation |     AUC=0.9830  F1=0.9800  MCC=0.9467  BalAcc=0.9733
2026-07-07 16:14:57 | INFO     | ckd_ablation |   [XGBoost] Top 10 SHAP                n_features=10
2026-07-07 16:14:57 | INFO     | ckd_ablation |     AUC=0.9830  F1=0.9800  MCC=0.9467  BalAcc=0.9733
2026-07-07 16:14:57 | INFO     | ckd_ablation |   [XGBoost] Top 5 SHAP                 n_features=5
2026-07-07 16:14:57 | INFO     | ckd_ablation |     AUC=0.9667  F1=0.9709  MCC=0.9214  BalAcc=0.9500
2026-07-07 16:14:57 | INFO     | ckd_ablation |   [XGBoost] Top 3 SHAP                 n_features=3
2026-07-07 16:14:57 | INFO     | ckd_ablation |     AUC=0.9500  F1=0.9346  MCC=0.8201  BalAcc=0.8833
2026-07-07 16:14:57 | INFO     | ckd_ablation |   [XGBoost] Clinical Baseline          n_features=7
2026-07-07 16:14:57 | INFO     | ckd_ablation |     AUC=0.5000  F1=0.7692  MCC=0.0000  BalAcc=0.5000
2026-07-07 16:14:57 | INFO     | ckd_ablation | --------------------------------------------------
2026-07-07 16:14:57 | INFO     | ckd_ablation | [RandomForest] Loading model and data...
2026-07-07 16:14:57 | INFO     | ckd_ablation | [RandomForest] Test CSV: data/splits/uci_test.csv  (80 rows)
2026-07-07 16:14:57 | DEBUG    | ckd_ablation | [RandomForest] Train CSV: data/splits/uci_train.csv  (320 rows)
2026-07-07 16:14:57 | INFO     | ckd_ablation | [RandomForest] Feature matrix: 80 rows × 24 features
2026-07-07 16:14:57 | INFO     | ckd_ablation | [RandomForest] SHAP ranking: loading pre-computed values from artifacts/explainability/uci/RandomForest/shap_values.csv
